Cancer_Type_Code	Sample	Aberrant_Cell_Fraction(Purity)	Ploidy
BLCA	TCGA.G2.A2EO.01A.11D.A17S.01	0.35	3.39321581739438
BLCA	TCGA.G2.A2ES.01A.11D.A17S.01	0.52	1.9625800418375
BLCA	TCGA.G2.A3IB.01A.11D.A20B.01	0.83	1.77511152130441
BLCA	TCGA.G2.A3IE.01A.11D.A20B.01	0.66	1.6712335841695
BLCA	TCGA.G2.A3VY.01A.11D.A22Y.01	0.72	3.50422789717994
BLCA	TCGA.GC.A3BM.01A.11D.A22Y.01	0.68	3.31312261318309
BLCA	TCGA.GC.A3I6.01A.11D.A20B.01	0.49	4.8779454646522
BLCA	TCGA.GC.A3OO.01A.11D.A22Y.01	0.3	2.36995363668017
BLCA	TCGA.GC.A3RB.01A.12D.A21Y.01	0.77	3.23560385322558
BLCA	TCGA.GC.A3RC.01A.11D.A22Y.01	0.51	3.54487812760825
BLCA	TCGA.GC.A3RD.01A.12D.A22Y.01	0.49	3.0858429444623
BLCA	TCGA.GC.A3WC.01A.31D.A22Y.01	0.36	2.04458131128952
BLCA	TCGA.GC.A3YS.01A.11D.A23L.01	0.41	3.84062935055257
BLCA	TCGA.GC.A6I1.01A.12D.A31K.01	0.34	2.50220210498024
BLCA	TCGA.GC.A6I3.01A.11D.A31K.01	0.37	3.21500940982698
BLCA	TCGA.GD.A2C5.01A.12D.A17S.01	0.49	3.42236490137313
BLCA	TCGA.GD.A3OP.01A.21D.A21Y.01	0.62	1.94485824730103
BLCA	TCGA.GD.A3OQ.01A.32D.A21Y.01	0.61	3.93048944983193
BLCA	TCGA.GD.A3OS.01A.12D.A21Y.01	0.65	2.6020051344503
BLCA	TCGA.GD.A6C6.01A.21D.A31K.01	0.78	2.74890339003664
BLCA	TCGA.GD.A76B.01A.11D.A32A.01	0.26	3.91625670474467
BLCA	TCGA.GU.A42P.01A.11D.A23T.01	0.51	5.24340659615266
BLCA	TCGA.GU.A42Q.01A.11D.A23T.01	0.33	3.63627311988103
BLCA	TCGA.GU.A42R.01A.11D.A23L.01	0.67	2.21567689947173
BLCA	TCGA.GU.A763.01A.11D.A32A.01	0.86	1.93636302551621
BLCA	TCGA.GU.A766.01A.11D.A32A.01	0.35	1.92674995293698
BLCA	TCGA.GU.A767.01A.11D.A32A.01	0.33	3.37671183050428
BLCA	TCGA.GV.A3JV.01A.11D.A21Y.01	0.7	3.44522392278444
BLCA	TCGA.GV.A3JW.01A.11D.A20B.01	0.66	2.97702769415647
BLCA	TCGA.GV.A3JX.01A.11D.A20B.01	0.81	1.81749655843006
BLCA	TCGA.GV.A3JZ.01A.11D.A219.01	0.75	3.42263256361004
BLCA	TCGA.GV.A3QF.01A.31D.A22Y.01	0.42	3.43406318494739
BLCA	TCGA.GV.A3QG.01A.11D.A21Y.01	0.45	2.07848112231553
BLCA	TCGA.GV.A3QH.01A.11D.A21Y.01	0.57	2.66433600606849
BLCA	TCGA.GV.A3QI.01A.11D.A21Y.01	0.83	3.24213881008032
BLCA	TCGA.GV.A3QK.01B.11D.A23L.01	0.64	2.28450829836232
BLCA	TCGA.GV.A40E.01A.12D.A23L.01	0.43	4.06544897008347
BLCA	TCGA.GV.A40G.01A.11D.A23L.01	0.66	3.24220989050837
BLCA	TCGA.H4.A2HO.01A.11D.A17S.01	1	1.98500425094279
BLCA	TCGA.H4.A2HQ.01A.11D.A17S.01	0.67	5.00256167198937
BLCA	TCGA.HQ.A2OE.01A.11D.A201.01	0.66	3.61422263833889
BLCA	TCGA.HQ.A2OF.01A.11D.A26L.01	0.78	2.81339832749974
BLCA	TCGA.HQ.A5ND.01A.11D.A26L.01	0.55	3.02002080213152
BLCA	TCGA.HQ.A5NE.01A.12D.A288.01	0.24	4.62824436340535
BLCA	TCGA.K4.A3WS.01A.11D.A22Y.01	0.26	3.57813266162329
BLCA	TCGA.K4.A3WU.01B.11D.A23L.01	1	2.1920276636141
BLCA	TCGA.K4.A3WV.01A.11D.A22Y.01	0.59	3.46553737636587
BLCA	TCGA.K4.A4AB.01B.12D.A288.01	0.57	2.0568149193376
BLCA	TCGA.K4.A4AC.01A.21D.A26L.01	0.31	2.92608246329224
BLCA	TCGA.K4.A54R.01A.11D.A26L.01	0.6	1.80363476432673
BLCA	TCGA.K4.A5RH.01A.11D.A30D.01	0.33	3.6629860332512
BLCA	TCGA.K4.A5RI.01A.11D.A288.01	0.44	5.20559625095167
BLCA	TCGA.K4.A5RJ.01A.11D.A288.01	0.46	1.82714739248668
BLCA	TCGA.K4.A6FZ.01A.11D.A31K.01	0.36	3.23201706818779
BLCA	TCGA.K4.A6MB.01A.11D.A31K.01	0.74	3.32093479647952
BLCA	TCGA.LC.A66R.01A.41D.A30D.01	0.38	3.5712956129493
BLCA	TCGA.LT.A5Z6.01A.11D.A288.01	0.77	1.71902462103858
BLCA	TCGA.PQ.A6FI.01A.11D.A31K.01	0.7	2.87909219187051
BLCA	TCGA.PQ.A6FN.01A.11D.A31K.01	0.39	1.84508909209747
BLCA	TCGA.R3.A69X.01A.22D.A30D.01	0.35	1.81175403728502
BLCA	TCGA.S5.A6DX.01A.11D.A31K.01	0.39	3.22327639679983
BRCA	TCGA.A1.A0SB.01A.11D.A141.01	1	2.00037095098394
BRCA	TCGA.A1.A0SD.01A.11D.A111.01	0.52	1.87394830120554
BRCA	TCGA.A1.A0SE.01A.11D.A087.01	0.48	2.03755267864927
